iir_type,band,octave,filter_nb,iir_order_N,iir_order_effective,coeff_type,coeff_index,integer_bits,frac_bits,quantized_value,float_hex,binary_repr,ansi_valid_5,ansi_valid_10,ansi_valid_15,ansi_valid_20
butterworth,22,1,1,7,14,b,0,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,1,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,2,13,40,-0.0,-0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,3,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,4,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,5,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,6,13,40,-9.094947017729282e-13,-0x1.0000000000000p-40,-0b1,False,False,False,False
butterworth,22,1,1,7,14,b,7,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,8,13,40,9.094947017729282e-13,0x1.0000000000000p-40,0b1,False,False,False,False
butterworth,22,1,1,7,14,b,9,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,10,13,40,-0.0,-0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,11,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,12,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,13,13,40,0.0,0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,b,14,13,40,-0.0,-0x0.0p+0,0b0,False,False,False,False
butterworth,22,1,1,7,14,a,0,13,40,1.0,0x1.0000000000000p+0,0b10000000000000000000000000000000000000000,False,False,False,False
butterworth,22,1,1,7,14,a,1,13,40,-13.858240419373033,-0x1.bb76b49caa000p+3,-0b11011101101110110101101001001110010101010000,False,False,False,False
butterworth,22,1,1,7,14,a,2,13,40,89.21361694526604,0x1.64dabe6687280p+6,0b10110010011011010101111100110011010000111001010,False,False,False,False
butterworth,22,1,1,7,14,a,3,13,40,-353.6145529520454,-0x1.619d53579eb20p+8,-0b1011000011001110101010011010101111001111010110010,False,False,False,False
butterworth,22,1,1,7,14,a,4,13,40,964.1194014157509,0x1.e20f488babdf8p+9,0b11110001000001111010010001000101110101011110111111,False,False,False,False
butterworth,22,1,1,7,14,a,5,13,40,-1912.7473232936682,-0x1.de2fd42514760p+10,-0b111011110001011111101010000100101000101000111011000,False,False,False,False
