Band,fl_Hz,fu_Hz,N,delta_rel_%,wl,integer_bits,frac_bits,lsbExt,H,Heps,guard_bits
38,5656.8542494923795,7127.189745122714,4,5.0,16,4,12,-23,2.22898,535.424,10
38,5656.8542494923795,7127.189745122714,4,10.0,16,4,12,-23,2.22898,535.424,10
38,5656.8542494923795,7127.189745122714,4,15.0,16,4,12,-23,2.22898,535.424,10
38,5656.8542494923795,7127.189745122714,4,20.0,16,4,12,-23,2.22898,535.424,10
38,5656.8542494923795,7127.189745122714,5,5.0,20,5,15,-25,2.58608,3532.21,12
38,5656.8542494923795,7127.189745122714,5,10.0,20,5,15,-25,2.58608,3532.21,12
38,5656.8542494923795,7127.189745122714,5,15.0,20,5,15,-25,2.58608,3532.21,12
38,5656.8542494923795,7127.189745122714,5,20.0,20,5,15,-25,2.58608,3532.21,12
38,5656.8542494923795,7127.189745122714,6,5.0,25,6,19,-28,3.09329,25631.8,15
38,5656.8542494923795,7127.189745122714,6,10.0,25,6,19,-28,3.09329,25631.8,15
38,5656.8542494923795,7127.189745122714,6,15.0,25,6,19,-28,3.09329,25631.8,15
38,5656.8542494923795,7127.189745122714,6,20.0,25,6,19,-28,3.09329,25631.8,15
