iir_type,octave,filter_nb,coeff_type,coeff_index,binary_coeff,ansi_valid
butterworth,1,1,b,0,1000101101000000110,False
butterworth,1,1,b,1,0,False
butterworth,1,1,b,2,-100010110100000011000,False
butterworth,1,1,b,3,0,False
butterworth,1,1,b,4,110100001110000100100,False
butterworth,1,1,b,5,0,False
butterworth,1,1,b,6,-100010110100000011000,False
butterworth,1,1,b,7,0,False
butterworth,1,1,b,8,1000101101000000110,False
butterworth,1,1,a,0,1000000000000000000000000000000000000000000000,False
butterworth,1,1,a,1,-111111011000100111101101101000000101110010011001,False
butterworth,1,1,a,2,11011011111011011101111011101110010001000100000011,False
butterworth,1,1,a,3,-110110100011110111101001110110001101000100011010100,False
butterworth,1,1,a,4,1000011101111100101001001100111000100001011111000100,False
butterworth,1,1,a,5,-110101111000100101000110110101100011111011111011110,False
butterworth,1,1,a,6,11010110100000101000101011101011010101010100101110,False
butterworth,1,1,a,7,-111101000011100111000011110100111010011111000110,False
butterworth,1,1,a,8,111100111000101000010101001010010010100011010,False
butterworth,1,2,b,0,10101110010100110111,False
butterworth,1,2,b,1,0,False
butterworth,1,2,b,2,-1010111001010011011101,False
butterworth,1,2,b,3,0,False
butterworth,1,2,b,4,10000010101111101001100,False
butterworth,1,2,b,5,0,False
butterworth,1,2,b,6,-1010111001010011011101,False
butterworth,1,2,b,7,0,False
butterworth,1,2,b,8,10101110010100110111,False
butterworth,1,2,a,0,1000000000000000000000000000000000000000000000,False
butterworth,1,2,a,1,-111111001001111001011110101111011100010000110111,False
butterworth,1,2,a,2,11011010011101100101110101110101000111111011100000,False
butterworth,1,2,a,3,-110110000011111111001100100010011000100111110011010,False
butterworth,1,2,a,4,1000010111111110011101110101100110101110010000001110,False
butterworth,1,2,a,5,-110101001110000001111011101111000110011011110111100,False
butterworth,1,2,a,6,11010011101100111010101100100001010001111111100110,False
butterworth,1,2,a,7,-111100001111101111001011110101000000011001111011,False
butterworth,1,2,a,8,111100000110011010100110100111101100100100110,False
butterworth,1,3,b,0,110110011101111111010,False
butterworth,1,3,b,1,0,False
butterworth,1,3,b,2,-11011001110111111101001,False
butterworth,1,3,b,3,0,False
butterworth,1,3,b,4,101000110110011111011110,False
butterworth,1,3,b,5,0,False
butterworth,1,3,b,6,-11011001110111111101001,False
butterworth,1,3,b,7,0,False
butterworth,1,3,b,8,110110011101111111010,False
butterworth,1,3,a,0,1000000000000000000000000000000000000000000000,False
butterworth,1,3,a,1,-111110110100101111111010110001010010011011010001,False
butterworth,1,3,a,2,11011000011000011110010010011000100110000011110011,False
butterworth,1,3,a,3,-110101010111011001010011100000010101010110011101001,False
butterworth,1,3,a,4,1000001111101111111101010111001000011111101001001100,False
butterworth,1,3,a,5,-110100010100011011001011001000010001011101101001100,False
butterworth,1,3,a,6,11001111111110101101000101001101111100110101010100,False
butterworth,1,3,a,7,-111011001100110101100001000101000110000111000000,False
butterworth,1,3,a,8,111011001000000100010010111010000011000001001,False
butterworth,2,1,b,0,10000111110111101110110,False
butterworth,2,1,b,1,0,False
butterworth,2,1,b,2,-1000011111011110111011001,False
butterworth,2,1,b,3,0,False
butterworth,2,1,b,4,1100101111001110011000110,False
butterworth,2,1,b,5,0,False
butterworth,2,1,b,6,-1000011111011110111011001,False
butterworth,2,1,b,7,0,False
butterworth,2,1,b,8,10000111110111101110110,False
butterworth,2,1,a,0,1000000000000000000000000000000000000000000000,False
butterworth,2,1,a,1,-111110010110000000111000111001011111110100110101,False
butterworth,2,1,a,2,11010101011001110100100110100100100001100111011011,False
butterworth,2,1,a,3,-110100011000011110001110010110000101101000011110110,False
butterworth,2,1,a,4,1000000100010100101110110101110000100110110101001110,False
butterworth,2,1,a,5,-110011000101110110111001100100101001110011011100001,False
butterworth,2,1,a,6,11001011000000111111000010011010010001101101110011,False
butterworth,2,1,a,7,-111001110110010000001001001000011111110101001110,False
butterworth,2,1,a,8,111001111010111100011101101110011100000000010,False
butterworth,2,2,b,0,1010100100000111001111011,False
butterworth,2,2,b,1,0,False
butterworth,2,2,b,2,-101010010000011100111101100,False
butterworth,2,2,b,3,0,False
butterworth,2,2,b,4,111111011000101011011100010,False
butterworth,2,2,b,5,0,False
butterworth,2,2,b,6,-101010010000011100111101100,False
butterworth,2,2,b,7,0,False
butterworth,2,2,b,8,1010100100000111001111011,False
butterworth,2,2,a,0,10000000000000000000000000000000000000000000000,False
butterworth,2,2,a,1,-1111011010001110001011101010101011000100011010000,False
butterworth,2,2,a,2,110100010001101001101111111110001110101101100111110,False
butterworth,2,2,a,3,-1100101111110001110011100001000100011101110001011010,False
butterworth,2,2,a,4,1111101000101110110101100001001011000111111010010100,False
butterworth,2,2,a,5,-1100010110100001111010110111110000100100000111101000,False
butterworth,2,2,a,6,110001000101110000111010010010100101010001011101010,False
butterworth,2,2,a,7,-1110000001011101010110000100100100101010001100011,False
butterworth,2,2,a,8,1110000111000000000000111101100101001111111110,False
butterworth,2,3,b,0,11010001100110101010101111,False
butterworth,2,3,b,1,0,False
butterworth,2,3,b,2,-1101000110011010101010111110,False
butterworth,2,3,b,3,0,False
butterworth,2,3,b,4,10011101001101000000000011101,False
butterworth,2,3,b,5,0,False
butterworth,2,3,b,6,-1101000110011010101010111110,False
butterworth,2,3,b,7,0,False
butterworth,2,3,b,8,11010001100110101010101111,False
butterworth,2,3,a,0,10000000000000000000000000000000000000000000000,False
butterworth,2,3,a,1,-1111001001100000110100001000101110010100111011001,False
butterworth,2,3,a,2,110010101101110110111101000101011111110100110100101,False
butterworth,2,3,a,3,-1100001111111110010010000000000011100011111101000110,False
butterworth,2,3,a,4,1110111100000101001011000100101110111111001100011100,False
butterworth,2,3,a,5,-1011110001100001100001000101101010010110001000000000,False
butterworth,2,3,a,6,101110110110100111101111000101001000010101000000010,False
butterworth,2,3,a,7,-1101011100111000010101110001110010001100001000000,False
butterworth,2,3,a,8,1101101001111101000010101001010011011111110110,False
butterworth,3,1,b,0,1000000101110001011010011001,False
butterworth,3,1,b,1,0,False
butterworth,3,1,b,2,-100000010111000101101001100101,False
butterworth,3,1,b,3,0,False
butterworth,3,1,b,4,110000100010101000011110010111,False
butterworth,3,1,b,5,0,False
butterworth,3,1,b,6,-100000010111000101101001100101,False
butterworth,3,1,b,7,0,False
butterworth,3,1,b,8,1000000101110001011010011001,False
butterworth,3,1,a,0,10000000000000000000000000000000000000000000000,False
