E0,E1,E2,E3,E4,E5,E6,E7,|,WE0,WE1,WE2,WE3,WE4,WE5,WE6,WE7,||,Sel2,Sel1,Sel0
0,0,0,0,0,0,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,0,0,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
0,0,0,0,0,0,1,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,0,0,1,1,|,0,0,0,0,0,1,0,0,||,0,1,0
0,0,0,0,0,1,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,0,1,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
0,0,0,0,0,1,1,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,0,1,1,1,|,0,0,0,0,1,0,0,0,||,0,1,1
0,0,0,0,1,0,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,1,0,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
0,0,0,0,1,0,1,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,1,0,1,1,|,0,0,0,0,0,1,0,0,||,0,1,0
0,0,0,0,1,1,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,1,1,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
0,0,0,0,1,1,1,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,0,1,1,1,1,|,0,0,0,1,0,0,0,0,||,1,0,0
0,0,0,1,0,0,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,1,0,0,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
0,0,0,1,0,0,1,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,1,0,0,1,1,|,0,0,0,0,0,1,0,0,||,0,1,0
0,0,0,1,0,1,0,0,|,0,0,0,0,0,0,0,1,||,0,0,0
0,0,0,1,0,1,0,1,|,0,0,0,0,0,0,1,0,||,0,0,1
